ID,TIPO,TELL,HLL,BONIFICACION,TE,TE + Bonificacion,Hora Inicio Buffer,Hora Inicio Servicio,Hora Finalización Servicio,Orden de atencion,Numero de servidores
1,Bancario,37.05505404995214,37.05505404995214,400,0,0,0,0,700,0,8
2,Bancario,9.230858030676048,46.28591208062819,400,0,0,0,0,400,0,8
3,Bancario,110.4666180272919,156.75253010792008,400,0,0,0,0,600,0,8
4,Personal,7.842362505874227,164.59489261379431,1000,0,0,0,0,800,0,8
5,Bancario,11.242170061764055,175.83706267555837,400,0,0,0,0,800,0,8
6,Transferido,88.46696270324169,264.3040253788001,0,0,0,0,0,1300,0,8
7,Usuarios,33.66808262337885,297.9721080021789,0,0,0,0,0,700,0,8
8,Bancario,39.03202703665097,337.0041350388299,400,0,0,0,0,700,0,8
9,Usuarios,16.317020054827413,353.3211550936573,0,23.717798655675153,23.717798655675153,400,400,1200,0,8
10,Bancario,45.51289414767086,398.83404924132816,400,174.0321851097919,574.032185109792,600,600,1700,1,8
11,Bancario,158.0800975629319,556.9141468042601,400,15.952087546859957,415.95208754685996,600,700,1700,2,8
12,Personal,95.64156748587772,652.5557142901378,1000,17.64966939290298,1017.649669392903,700,700,1700,3,8
13,Bancario,46.900403151192116,699.4561174413299,400,6.856029791642754,406.85602979164275,800,800,1700,4,8
14,Personal,172.5600394116925,872.0161568530224,1000,230.75092146511145,1230.7509214651113,1200,1200,2600,5,8
15,Bancario,23.427527015393725,895.4436838684161,400,207.32339444971774,607.3233944497177,1200,1700,3200,7,8
16,Bancario,45.23809296843147,940.6817768368476,400,162.08530148128625,562.0853014812863,1200,1700,3300,8,8
17,Empresas,23.053749168273555,963.7355260051211,400,139.03155231301275,539.0315523130128,1300,1700,3700,9,8
18,Bancario,17.066137230034652,980.8016632351557,400,121.9654150829781,521.9654150829781,8000,10100,11600,28,8
19,Bancario,11.250192941772674,992.0518561769284,400,110.71522214120546,510.71522214120546,9600,10200,11600,29,8
20,Especial,11.030023727578243,1003.0818799045066,1000,99.68519841362718,1099.6851984136272,1200,1300,2700,6,8
21,Bancario,86.25977967590099,1089.3416595804076,400,13.425418737726204,413.4254187377262,11400,11800,13100,35,8
22,Usuarios,21.275467508134636,1110.6171270885422,0,140.44748779236625,140.44748779236625,13500,14400,16200,40,8
23,Bancario,129.865810453111,1240.4829375416532,400,10.581677339255293,410.5816773392553,11600,13100,14700,36,8
24,Transferido,28.034896824720885,1268.517834366374,0,341.85843600272165,341.85843600272165,11600,13500,16300,37,8
25,Bancario,136.11184741230124,1404.6296817786751,400,205.74658859042052,605.7465885904205,1700,3200,5200,13,8
26,Bancario,17.13160379227688,1421.761285570952,400,188.61498479814372,588.6149847981437,6700,8000,10100,25,8
27,Usuarios,15.579414516251104,1437.340700087203,0,173.03557028189266,173.03557028189266,13100,14400,16500,39,8
28,Bancario,28.970850236599286,1466.3115503238023,400,144.06472004529337,544.0647200452934,7800,9600,11400,26,8
29,Bancario,17.468636245568632,1483.780186569371,400,126.59608379972474,526.5960837997247,7900,9600,11800,27,8
30,Personal,38.31259729217719,1522.092783861548,1000,88.28348650754765,1088.2834865075477,1700,1700,3700,10,8
31,Empresas,19.560050558025534,1541.6528344195735,400,68.72343594952213,468.7234359495221,10100,10900,14400,31,8
32,Bancario,96.43513806207704,1638.0879724816505,400,25.873569847648014,425.873569847648,10200,11400,13500,32,8
33,Personal,5.550528436009972,1643.6385009176604,1000,20.323041411638087,1020.3230414116381,1700,2600,4700,11,8
34,Personal,32.1556201839879,1675.7941211016482,1000,14.517007822279083,1014.5170078222791,1700,2700,4900,12,8
35,Bancario,192.66687533397976,1868.460996435628,400,653.4564613321479,1053.456461332148,3200,3700,6600,16,8
36,Bancario,61.669822309720175,1930.130818745348,400,591.7866390224278,991.7866390224278,3300,4700,7800,17,8
37,Bancario,1.099849806898281,1931.2306685522462,400,590.6867892155296,990.6867892155296,3700,4900,7900,18,8
38,Bancario,93.41012166994287,2024.640790222189,400,497.27666754558686,897.2766675455869,3700,5200,8000,19,8
39,Empresas,13.129910430538866,2037.7707006527278,400,484.1467571150481,884.1467571150481,4700,6300,10200,20,8
40,Bancario,133.97686042017028,2171.747561072898,400,350.16989669487793,750.1698966948779,4900,6600,9600,21,8
41,VIP,21.083331571202613,2192.8308926441005,1800,329.0865651236754,2129.0865651236754,2600,3300,6300,14,8
42,Bancario,82.1054683884,2274.9363610325004,400,246.98109673527551,646.9810967352755,5200,6700,9600,22,8
43,Bancario,1.540325887244063,2276.476686919744,400,245.44077084803166,645.4407708480317,6300,7800,10700,23,8
44,Bancario,39.18642665960796,2315.6631135793523,400,206.2543441884236,606.2543441884236,6600,7900,10900,24,8
45,Usuarios,18.162851770626077,2333.8259653499786,0,188.09149241779733,188.09149241779733,11800,13700,16700,38,8
46,Bancario,78.30026286231093,2412.1262282122893,400,109.79122955548655,509.79122955548655,9600,10700,13700,30,8
47,Usuarios,22.980524380964603,2435.106752593254,0,86.8107051745219,86.8107051745219,13700,14700,17600,41,8
48,Bancario,68.7890033253165,2503.8957559185706,400,18.02170184920533,418.02170184920533,10900,11600,14400,34,8
49,Personal,48.864842383624755,2552.7605983021954,1000,88.73600983157257,1088.7360098315726,2700,3700,6700,15,8
50,Usuarios,174.7705431324993,2727.5311414346947,0,425.7237097380571,425.7237097380571,10700,11600,15300,33,8
